,Country Name,Country Code,2018 GDP ($MM USD),JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
58,Finland,FIN,276000.0,339,8725,7500,130666,5527405,42,64.49602536,26.2713521
59,France,FRA,2790000.0,44839,563559,117207,210026,67060000,319,42.18202918,-2.754422149
60,Gabon,GAB,16862.0,53,8654,7785,103347,2067561,20,-0.591692774,11.78932242
61,Gambia,GMB,1625.0,105,3428,1737,4127,2228075,540,13.44961271,-15.39842179
62,Georgia,GEO,17600.0,19,2562,1369,26911,3729600,139,42.16903792,43.50705956
63,Germany,DEU,3950000.0,17228,439112,383812,137903,83149300,603,51.10627344,10.38171087
64,Ghana,GHA,65556.0,294,45655,44797,92098,30280811,329,7.953546769,-1.216496422
65,Greece,GRC,218000.0,313,13730,1347,50949,10724599,210,39.05163159,22.97343858
66,Grenada,GRD,1169.0,0,24,24,133,108825,819,12.15192856,-61.6574851
67,Guatemala,GTM,73118.0,2984,82684,71983,42042,17679735,421,15.69597945,-90.35971327
68,Guinea,GIN,12207.0,63,10111,9444,94926,12218357,129,10.43466008,-10.94260237
69,Guinea-Bissau,GNB,1458.0,39,2275,1127,13948,1604528,115,12.02764957,-14.97678698
70,Guyana,GUY,3879.0,58,1958,1302,83012,782225,9.4,4.7938516280000005,-58.98013649
71,Haiti,HTI,9659.0,220,8530,6181,10450,11403000,1091,18.93845261,-72.69038570000001
72,Honduras,HND,24024.0,2087,68620,18487,43433,9158345,211,14.82078177,-86.62542076
73,Hungary,HUN,158000.0,646,13879,4130,35919,9764000,272,47.16314849,19.39635464
74,Iceland,ISL,25738.0,10,2174,2102,39682,366130,9.2,64.99811641,-18.59677619
75,India,IND,2710000.0,89539,5286309,4071457,1269219,1352642280,1066,22.88810028,79.61589358
76,Indonesia,IDN,1040000.0,8965,225030,161065,735358,268074600,365,-2.222752603,117.26894170000001
77,Iraq,IRQ,224000.0,8166,298702,233346,169235,39309783,232,33.03974485,43.74467397
78,Ireland,IRL,383000.0,1787,31549,23364,27133,4921500,181,53.17772745,-8.145417822
79,Israel,ISR,371000.0,1147,164402,120727,8522,9252900,1086,31.44486066,34.99642345
80,Italy,ITA,2090000.0,66739,512094,327186,116336,60252824,518,42.78644501,12.07238918
81,Jamaica,JAM,15714.0,46,4042,1163,4244,2726667,643,18.15519535,-77.31891423
82,Japan,JPN,4950000.0,2321,93097,80874,145937,126010000,863,37.55262259,137.9799595
83,Jordan,JOR,42231.0,26,3677,2311,34495,10771028,312,31.24553315,36.77121929
84,Kazakhstan,KAZ,179000.0,1671,106984,101267,1052090,18592700,17,48.16046711,67.29551713
85,Kenya,KEN,87779.0,634,36301,23364,224647,47564296,212,0.550735389,37.822120500000004
86,South Korea,KOR,1720000.0,367,22504,19310,38691,51780579,1338,36.37405058,127.81968640000001
87,Kuwait,KWT,141000.0,568,96301,86219,6880,4420110,642,29.33963774,47.59436884
88,Kyrgyzstan,KGZ,8271.0,1063,44999,41103,77199,6309300,82,41.46183054,74.54113647
89,Latvia,LVA,34314.0,35,1482,1248,24928,1910400,77,56.85200356,24.90791682
90,Lebanon,LBN,54961.0,252,25449,9216,4036,6855713,1741,33.92078815,35.87999827
91,Lesotho,LSO,2576.0,33,1327,687,11720,2263010,193,-29.57985878,28.22844194
92,Liberia,LBR,3264.0,82,1327,1214,37466,4475353,119,6.452381987000001,-9.319881982
93,Libya,LBY,52608.0,383,24144,13252,683424,6470956,9.5,27.03036852,18.00959501
94,Lithuania,LTU,53455.0,87,3397,2094,25212,2793466,111,55.32702975,23.88850325
