,Country Name,Country Code,2018 GDP USD,JH Deaths,JH Confirmed,JH Recovered,Area (mi2),Population,Population Density (mi2),Lat,Lng
131,Romania,ROU,242000000000.0,4312.0,108690.0,43244.0,92043.0,19.405156,211.0,45.853429299999995,24.97308781
132,Russian Federation,RUS,1670000000000.0,23689.0,1486995.0,1065028.0,6612093.0,146.877088,22.0,61.98434174,96.69345577
133,Rwanda,RWA,9627720630.0,23.0,4653.0,2817.0,10169.0,12.374397,1217.0,-1.9927731990000002,29.91885619
134,San Marino,SMR,1637931034.0,42.0,723.0,663.0,24.0,0.034641,1471.0,43.93546619,12.44143074
135,Sao Tome and Principe,STP,422295934.2,15.0,907.0,873.0,386.0,0.201784,522.0,0.44194241,6.724200099
136,Saudi Arabia,SAU,787000000000.0,4399.0,328144.0,307207.0,830000.0,34.218169,41.0,24.121972600000003,44.53724369
137,Senegal,SEN,23236007428.0,300.0,14618.0,10923.0,75955.0,16.209125,213.0,14.36786113,-14.47128613
138,Serbia,SRB,50597289147.0,738.0,32695.0,0.0,29913.0,6.901188,231.0,44.22130001,20.79029371
139,Seychelles,SYC,1586008997.0,0.0,141.0,136.0,176.0,0.096762,551.0,-6.532949456,51.97545085
140,Sierra Leone,SLE,4085114794.0,72.0,2133.0,1646.0,27699.0,7.901454,285.0,8.563421594,-11.79471789
141,Singapore,SGP,373000000000.0,27.0,57532.0,57039.0,279.0,5.7036,20446.0,1.358612283,103.8122452
142,Slovak Republic,SVK,106000000000.0,39.0,6021.0,3288.0,18933.0,5.450421,288.0,48.70505347,19.48060523
143,Slovenia,SVN,54034358544.0,136.0,4058.0,2897.0,7827.0,2.084301,266.0,46.11618344,14.807725099999999
144,South Africa,ZAF,368000000000.0,15772.0,655572.0,585303.0,471359.0,58.775022,125.0,-29.00102469,25.08731026
145,Spain,ESP,1420000000000.0,57509.0,854342.0,291199.0,195364.0,46.934632,240.0,40.22743287,-3.652265407
146,Sri Lanka,LKA,88425889592.0,13.0,3276.0,3043.0,25332.0,21.803,861.0,7.615960537,80.70294894
147,St. Kitts and Nevis,KNA,1010814815.0,0.0,17.0,17.0,104.0,0.056345,541.0,17.27332188,-62.70046189
148,Saint Lucia,LCA,2065875074.0,0.0,27.0,26.0,238.0,0.180454,757.0,13.90269999,-60.97053956
149,St. Vincent and the Grenadines,VCT,811300000.0,0.0,64.0,64.0,150.0,0.11052,736.0,13.21709966,-61.20269484
150,Sudan,SDN,26078607539.0,836.0,13535.0,6759.0,710251.0,40.782742,57.0,15.98681534,29.93976562
151,Suriname,SUR,3458090452.0,95.0,4671.0,4160.0,63251.0,0.568301,9.0,4.131057786,-55.91115516
